"MAPPING_ID","HP_ID","HP_TERM","ZP_ID","ZP_TERM","SIMJ","IC","SCORE","LCS_ID","LCS_TERM"
0,HP:0031549,Lymphocytoma cutis,ZP:0141666,,0.3157894736842105,3.7093462856190333,1.082299640232831,MP:0002006,
1,HP:0031549,Lymphocytoma cutis,ZP:0141512,,0.2857142857142857,3.7093462856190333,1.0294723038831985,MP:0002006,
2,HP:0031549,Lymphocytoma cutis,ZP:0021646,,0.23076923076923078,3.7093462856190333,0.9252042958120157,MP:0002006,
3,HP:0031549,Lymphocytoma cutis,ZP:0102137,,0.3157894736842105,3.7093462856190333,1.082299640232831,MP:0002006,
4,HP:0031549,Lymphocytoma cutis,ZP:0102138,,0.35294117647058826,3.7093462856190333,1.1441944948229685,MP:0002006,
5,HP:0031549,Lymphocytoma cutis,ZP:0023019,,0.35294117647058826,3.7093462856190333,1.1441944948229685,MP:0002006,
6,HP:0031549,Lymphocytoma cutis,ZP:0022920,"neoplasm brain increased amount, abnormal",0.24,3.7093462856190333,0.9435269516810677,MP:0002006,
7,HP:0031549,Lymphocytoma cutis,ZP:0022880,,0.20689655172413793,3.7093462856190333,0.8760427818578937,MP:0002006,
8,HP:0031549,Lymphocytoma cutis,ZP:0022879,,0.13725490196078433,3.836761623666563,0.7256819830361325,HP:0011793,Neoplasm by anatomical site
9,HP:0031549,Lymphocytoma cutis,ZP:0022733,,0.2857142857142857,3.7093462856190333,1.0294723038831985,MP:0002006,
10,HP:0031549,Lymphocytoma cutis,ZP:0022707,,0.2916666666666667,3.7093462856190333,1.0401406955979007,MP:0002006,
11,HP:0031549,Lymphocytoma cutis,ZP:0022706,,0.35,3.7093462856190333,1.1394170439161693,MP:0002006,
12,HP:0031549,Lymphocytoma cutis,ZP:0140448,,0.2222222222222222,3.7093462856190333,0.9079092325678858,MP:0002006,
13,HP:0031549,Lymphocytoma cutis,ZP:0101598,,0.3333333333333333,3.7093462856190333,1.1119571762765916,MP:0002006,
14,HP:0031549,Lymphocytoma cutis,ZP:0101510,,0.1875,3.7093462856190333,0.8339678822074437,MP:0002006,
15,HP:0031549,Lymphocytoma cutis,ZP:0107116,,0.13953488372093023,3.7093462856190333,0.719432556008217,MP:0002006,
16,HP:0031549,Lymphocytoma cutis,ZP:0101468,,0.2857142857142857,3.7093462856190333,1.0294723038831985,MP:0002006,
17,HP:0031549,Lymphocytoma cutis,ZP:0005559,"germ cell tumor testis increased amount, abnormal",0.20689655172413793,3.7093462856190333,0.8760427818578937,MP:0002006,
18,HP:0031549,Lymphocytoma cutis,ZP:0107020,"sarcoma whole organism increased amount, abnormal",0.23076923076923078,3.7093462856190333,0.9252042958120157,MP:0002006,
19,HP:0031549,Lymphocytoma cutis,ZP:0107019,"Non-Lymphoid leukaemias whole organism increased amount, abnormal",0.175,3.836761623666563,0.8194103270899437,HP:0011793,Neoplasm by anatomical site
20,HP:0031549,Lymphocytoma cutis,ZP:0101376,,0.3157894736842105,3.7093462856190333,1.082299640232831,MP:0002006,
21,HP:0031549,Lymphocytoma cutis,ZP:0101344,,0.3157894736842105,3.7093462856190333,1.082299640232831,MP:0002006,
22,HP:0031549,Lymphocytoma cutis,ZP:0022124,,0.24,3.7093462856190333,0.9435269516810677,MP:0002006,
